epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,402.959,0.37128,0.33146,0.87883,0.59872,0.78333,0.5507,0.48279,0.83478,0.91235,1.36311,0.00138337,0.00138337,0.00138337
111,406.038,0.36013,0.34287,0.87272,0.59638,0.76345,0.5141,0.43007,0.85514,1.05249,1.41295,0.00137771,0.00137771,0.00137771
112,409.027,0.39018,0.38572,0.90655,0.60864,0.76667,0.50962,0.43265,0.92224,0.92238,1.46684,0.00137206,0.00137206,0.00137206
113,411.891,0.39033,0.34075,0.88393,0.61247,0.8,0.51969,0.44161,0.93083,0.84494,1.46627,0.0013664,0.0013664,0.0013664
114,415.502,0.37802,0.32597,0.87841,0.64785,0.8,0.65689,0.60094,0.82232,0.68109,1.39042,0.00136074,0.00136074,0.00136074
115,420.161,0.3713,0.32721,0.87665,0.66616,0.8,0.73554,0.69166,0.80144,0.67335,1.37531,0.00135509,0.00135509,0.00135509
116,423.143,0.39319,0.34058,0.89774,0.71585,0.78333,0.7816,0.72172,0.71267,0.65754,1.26247,0.00134943,0.00134943,0.00134943
117,425.997,0.39726,0.34781,0.8866,0.70726,0.78333,0.79453,0.74483,0.67387,0.63688,1.23911,0.00134377,0.00134377,0.00134377
118,428.985,0.37702,0.36272,0.88085,0.70618,0.78333,0.77738,0.70568,0.70268,0.6565,1.27561,0.00133811,0.00133811,0.00133811
119,433.224,0.40316,0.36002,0.91202,0.68957,0.81452,0.76434,0.69747,0.67599,0.68203,1.22176,0.00133246,0.00133246,0.00133246
120,437.748,0.3913,0.33818,0.89621,0.68112,0.8,0.65919,0.6048,0.72701,0.68638,1.31897,0.0013268,0.0013268,0.0013268
121,440.626,0.40296,0.35312,0.88282,0.67542,0.81667,0.64005,0.58839,0.80493,0.6846,1.40325,0.00132114,0.00132114,0.00132114
122,443.462,0.3941,0.32646,0.89207,0.62624,0.78193,0.62769,0.56979,0.82267,0.78987,1.40471,0.00131549,0.00131549,0.00131549
123,446.541,0.39019,0.34072,0.88647,0.65018,0.75,0.65909,0.6031,0.79117,0.7666,1.3754,0.00130983,0.00130983,0.00130983
124,451.387,0.38274,0.36859,0.88251,0.66943,0.8,0.72096,0.66655,0.77919,0.70464,1.33429,0.00130417,0.00130417,0.00130417
125,455.538,0.37871,0.33133,0.88325,0.66535,0.8,0.72118,0.67035,0.76468,0.73686,1.30914,0.00129851,0.00129851,0.00129851
126,460.054,0.41057,0.34134,0.90528,0.6649,0.8,0.65702,0.60376,0.81234,0.76364,1.36109,0.00129286,0.00129286,0.00129286
127,464.644,0.38202,0.31951,0.87809,0.66618,0.8,0.70624,0.65146,0.75851,0.71675,1.31486,0.0012872,0.0012872,0.0012872
128,469.735,0.39263,0.33532,0.8886,0.66215,0.81661,0.75885,0.69465,0.6837,0.76087,1.21664,0.00128154,0.00128154,0.00128154
129,473.164,0.39088,0.32706,0.89355,0.6656,0.8294,0.74516,0.67514,0.73009,0.7705,1.2468,0.00127589,0.00127589,0.00127589
130,476.302,0.35119,0.33421,0.88245,0.67055,0.81667,0.70038,0.63638,0.76219,0.73549,1.30778,0.00127023,0.00127023,0.00127023
131,479.279,0.3796,0.32663,0.9034,0.66545,0.8,0.65532,0.60892,0.78662,0.69702,1.36007,0.00126457,0.00126457,0.00126457
132,482.977,0.36792,0.33275,0.87788,0.64852,0.79954,0.66046,0.60811,0.80355,0.72247,1.37625,0.00125891,0.00125891,0.00125891
133,488.035,0.37565,0.31402,0.87553,0.65182,0.78333,0.68693,0.62954,0.85,0.70241,1.4236,0.00125326,0.00125326,0.00125326
134,491.188,0.35186,0.30159,0.86523,0.66481,0.8,0.69159,0.64269,0.71458,0.77567,1.29645,0.0012476,0.0012476,0.0012476
135,494.217,0.37536,0.32179,0.86749,0.66507,0.8,0.70792,0.66417,0.67662,0.79302,1.25094,0.00124194,0.00124194,0.00124194
136,497.237,0.38356,0.3321,0.8763,0.66638,0.79899,0.67884,0.63318,0.84577,0.74403,1.40266,0.00123629,0.00123629,0.00123629
137,500.946,0.37471,0.3257,0.89501,0.66584,0.8,0.67774,0.63795,0.81356,0.69125,1.37656,0.00123063,0.00123063,0.00123063
138,506.173,0.39308,0.32819,0.88375,0.66541,0.8,0.65769,0.6236,0.77196,0.69683,1.35311,0.00122497,0.00122497,0.00122497
139,509.248,0.38358,0.30757,0.90607,0.66499,0.8,0.67695,0.63914,0.76295,0.68406,1.32562,0.00121931,0.00121931,0.00121931
